slice,threshold,n,n_positive,frac_one_cluster,frac_clusters_1,frac_clusters_2,frac_clusters_3,frac_clusters_4,frac_clusters_5,mean_entropy,frac_entropy_zero,mean_dispersion,frac_dispersion_clipped,mean_pairwise_distance_min,mean_pairwise_distance_median,mean_pairwise_distance_max,frac_pairwise_above_threshold,auroc_mean_pairwise_distance,auroc_any_variation,distinct_scores_reference_weight,frac_score_zero_reference_weight,frac_score_zero_positives,frac_score_zero_negatives,frac_one_cluster_positives,frac_one_cluster_negatives
model:qwen3.8-27b,0.5,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019944617611789863,0.0,0.0,0.008866087804482125,0.11668520004136847,0.0,0.6962737911522634,0.7113425925925926,1328,0.3392361111111111,0.022222222222222223,0.4449074074074074,1.0,1.0
model:qwen3.8-27b,0.7,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014246155436992765,0.0,0.0,0.008866087804482125,0.11668520004136847,0.0,0.6962737911522634,0.7113425925925926,1328,0.3392361111111111,0.022222222222222223,0.4449074074074074,1.0,1.0
model:qwen3.5-9b,0.1,2880,708,0.9954861111111111,0.9954861111111111,0.0045138888888888885,0.0,0.0,0.0,0.003518101643138066,0.9954861111111111,0.0438721312856522,0.0010416666666666667,0.0,0.0015483544493565481,0.12015053336697216,0.0010416666666666667,0.7097334072062511,0.7400700752255205,1198,0.4482638888888889,0.08615819209039548,0.5662983425414365,0.9929378531073446,0.996316758747698
model:qwen3.5-9b,0.2,2880,708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022018414189041085,0.0,0.0,0.0015483544493565481,0.12015053336697216,0.0,0.7097334072062511,0.7400700752255205,1200,0.4482638888888889,0.08615819209039548,0.5662983425414365,1.0,1.0
model:qwen3.5-9b,0.35,2880,708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012581950965166334,0.0,0.0,0.0015483544493565481,0.12015053336697216,0.0,0.7097334072062511,0.7400700752255205,1200,0.4482638888888889,0.08615819209039548,0.5662983425414365,1.0,1.0
model:qwen3.5-9b,0.5,2880,708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008807365675616434,0.0,0.0,0.0015483544493565481,0.12015053336697216,0.0,0.7097334072062511,0.7400700752255205,1200,0.4482638888888889,0.08615819209039548,0.5662983425414365,1.0,1.0
model:qwen3.5-9b,0.7,2880,708,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006290975482583167,0.0,0.0,0.0015483544493565481,0.12015053336697216,0.0,0.7097334072062511,0.7400700752255205,1200,0.4482638888888889,0.08615819209039548,0.5662983425414365,1.0,1.0
model:gemma4-31b-it,0.1,2880,719,0.9993055555555556,0.9993055555555556,0.0006944444444444445,0.0,0.0,0.0,0.0005013389547828905,0.9993055555555556,0.012631138020611127,0.0,0.0,0.0,0.06055289433131171,0.0,0.9421271252491539,0.8956154075374624,679,0.63125,0.037552155771905425,0.8287829708468302,0.9972183588317107,1.0
model:gemma4-31b-it,0.2,2880,719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006315569010305564,0.0,0.0,0.0,0.06055289433131171,0.0,0.9421271252491539,0.8956154075374624,679,0.63125,0.037552155771905425,0.8287829708468302,1.0,1.0
model:gemma4-31b-it,0.35,2880,719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003608896577317465,0.0,0.0,0.0,0.06055289433131171,0.0,0.9421271252491539,0.8956154075374624,679,0.63125,0.037552155771905425,0.8287829708468302,1.0,1.0
