model,arm,stratum,metric,baseline_arm,baseline_value,arm_value,full_arm_baseline_descriptive,full_arm_comparison_descriptive,delta,delta_ci_low,delta_ci_high,delta_cluster_field,n_delta_clusters,n_baseline,n_arm,n_complete_pairs,n_excluded_single_arm,n_matched_capabilities,n_excluded_ineligible_items,n_duplicate_identities,n_missing_identity_rows,n_baseline_failed_items,n_comparison_failed_items,n_baseline_unclassified_items,n_comparison_unclassified_items,n_baseline_eligible_items,n_comparison_eligible_items,unavailable_reason,delta_ci_unavailable_reason,cluster_note
gpt-oss-20b,grouped_4,all,label_accuracy,single,0.7861111111111111,0.9972222222222222,0.7861111111111111,0.9972222222222222,0.21111111111111114,0.1972222222222222,0.2236111111111111,seed_id,180,720,720,720,0,180,0,0,0,0,0,239,10,720,720,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped_4,all,strict_text_strengthening,single,0.3729166666666667,0.004166666666666667,0.37214137214137216,0.0028169014084507044,-0.36875,-0.3979381443298969,-0.3399895833333333,seed_id,172,720,720,480,0,172,240,0,0,0,0,239,10,481,710,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped_4,all,broad_text_strengthening,single,0.4270833333333333,0.1875,0.4282744282744283,0.2056338028169014,-0.23958333333333331,-0.2957132703025927,-0.18200297024206089,seed_id,172,720,720,480,0,172,240,0,0,0,0,239,10,481,710,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled,all,label_accuracy,single,0.7861111111111111,0.8916666666666667,0.7861111111111111,0.8916666666666667,0.10555555555555562,0.08329861111111116,0.12638888888888888,seed_id,180,720,720,720,0,180,0,0,0,0,0,239,48,720,720,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled,all,strict_text_strengthening,single,0.36807095343680707,0.07317073170731707,0.37214137214137216,0.0625,-0.29490022172949,-0.33261271249076124,-0.25884090361808443,seed_id,169,720,720,451,0,169,269,0,0,0,0,239,48,481,672,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled,all,broad_text_strengthening,single,0.42350332594235035,0.07317073170731707,0.4282744282744283,0.0625,-0.35033259423503327,-0.39112510341023987,-0.3131743823750885,seed_id,169,720,720,451,0,169,269,0,0,0,0,239,48,481,672,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled_4,all,label_accuracy,single,0.7861111111111111,0.8125,0.7861111111111111,0.8125,0.026388888888888906,0.001388888888888884,0.05138888888888893,seed_id,180,720,720,720,0,180,0,0,0,0,0,239,16,720,720,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled_4,all,strict_text_strengthening,single,0.37606837606837606,0.14957264957264957,0.37214137214137216,0.12642045454545456,-0.2264957264957265,-0.26526535087719294,-0.19013241429348812,seed_id,168,720,720,468,0,168,252,0,0,0,0,239,16,481,704,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,shuffled_4,all,broad_text_strengthening,single,0.4337606837606838,0.16666666666666666,0.4282744282744283,0.14630681818181818,-0.26709401709401714,-0.30963556466672076,-0.22827751196172247,seed_id,168,720,720,468,0,168,252,0,0,0,0,239,16,481,704,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,weak_intent,label_accuracy,single,0.14444444444444443,0.9777777777777777,0.14444444444444443,0.9777777777777777,0.8333333333333333,0.7720833333333332,0.8833333333333334,seed_id,180,180,180,180,0,180,0,0,0,0,0,35,0,180,180,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,weak_intent,strict_text_strengthening,single,1.0,0.0896551724137931,1.0,0.08888888888888889,-0.9103448275862069,-0.9517241379310345,-0.8620689655172413,seed_id,145,180,180,145,0,145,35,0,0,0,0,35,0,145,180,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped,weak_intent,broad_text_strengthening,single,1.0,0.33793103448275863,1.0,0.3111111111111111,-0.6620689655172414,-0.7379310344827585,-0.5793103448275863,seed_id,145,180,180,145,0,145,35,0,0,0,0,35,0,145,180,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped_4,weak_intent,label_accuracy,single,0.14444444444444443,0.9888888888888889,0.14444444444444443,0.9888888888888889,0.8444444444444446,0.7888888888888889,0.8944444444444445,seed_id,180,180,180,180,0,180,0,0,0,0,0,35,1,180,180,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped_4,weak_intent,strict_text_strengthening,single,1.0,0.013793103448275862,1.0,0.0111731843575419,-0.9862068965517241,-1.0,-0.9655172413793104,seed_id,145,180,180,145,0,145,35,0,0,0,0,35,1,145,179,,,capability-conditional; cross-capability request dependence not modelled
gpt-oss-20b,grouped_4,weak_intent,broad_text_strengthening,single,1.0,0.27586206896551724,1.0,0.27932960893854747,-0.7241379310344828,-0.7931034482758621,-0.6618965517241381,seed_id,145,180,180,145,0,145,35,0,0,0,0,35,1,145,179,,,capability-conditional; cross-capability request dependence not modelled
