model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
gpt-oss-20b,single,all,full-20260913-042319-9d244b6d,1,grouped,720,0,481,0.7861111111111111,0.37214137214137216,0.329771719858156,0.41114437753112687,0.3427146425519528,0.40121094808891294,0.4282744282744283,0.384457856868383,0.469087634136111,0.39436476583075686,0.4626905282504674,item_id,
gpt-oss-20b,grouped,all,full-20260913-042724-178991db,16,grouped,720,0,720,0.9944444444444445,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.0125,0.03333333333333333,0.23333333333333334,0.13333333333333333,0.3333333333333333,0.18333333333333332,0.2833333333333333,batch_id,
gpt-oss-20b,grouped_4,all,full-20260913-042520-4640fc4b,4,grouped,720,0,710,0.9972222222222222,0.0028169014084507044,0.0,0.007032348804500703,0.0,0.007173601147776184,0.2056338028169014,0.17680126207371288,0.233061425778922,0.15833333333333333,0.25285841327581765,item_id,
gpt-oss-20b,shuffled,all,full-20260913-042812-e231911d,16,shuffled,720,0,672,0.8916666666666667,0.0625,0.02556141774891775,0.10864046926910298,0.04545288167176893,0.0819998180797994,0.0625,0.02556141774891775,0.10864046926910298,0.04545288167176893,0.0819998180797994,batch_id,
gpt-oss-20b,shuffled_4,all,full-20260913-042620-3e5c577a,4,shuffled,720,0,704,0.8125,0.12642045454545456,0.10241820768136557,0.1530841543113539,0.10699001426533523,0.1475282225114252,0.14630681818181818,0.12072158288392398,0.1732408370678617,0.1257140839386602,0.1690395503429927,item_id,
gpt-oss-20b,single,weak_intent,full-20260913-042319-9d244b6d,1,grouped,180,0,145,0.14444444444444443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.8413793103448276
gpt-oss-20b,grouped,weak_intent,full-20260913-042724-178991db,16,grouped,180,0,180,0.9777777777777777,0.08888888888888889,0.022222222222222223,0.17777777777777778,0.05,0.13333333333333333,0.3111111111111111,0.17777777777777778,0.4444444444444444,0.24444444444444444,0.37777777777777777,batch_id,0.08888888888888889
gpt-oss-20b,grouped_4,weak_intent,full-20260913-042520-4640fc4b,4,grouped,180,0,179,0.9888888888888889,0.0111731843575419,0.0,0.028089887640449437,0.0,0.028089887640449437,0.27932960893854747,0.21584844228804903,0.34444444444444444,0.21584844228804903,0.34444444444444444,item_id,0.0111731843575419
gpt-oss-20b,shuffled,weak_intent,full-20260913-042812-e231911d,16,shuffled,180,0,165,0.6777777777777778,0.22424242424242424,0.08801572327044024,0.3678385667501445,0.1615904267414538,0.2916666666666667,0.22424242424242424,0.08801572327044024,0.3678385667501445,0.1615904267414538,0.2916666666666667,batch_id,0.18787878787878787
gpt-oss-20b,shuffled_4,weak_intent,full-20260913-042620-3e5c577a,4,shuffled,180,0,177,0.32222222222222224,0.4689265536723164,0.3954543314500942,0.5424371548276519,0.3954543314500942,0.5424371548276519,0.480225988700565,0.4057142857142857,0.5574712643678161,0.4057142857142857,0.5574712643678161,item_id,0.384180790960452
