model,dataset,variant,source_modality,text_modality,n,n_strict,n_heuristic,n_frame_only,n_escalation,source_readable_n,strict_percentage
gemma4-31b-it,mlm_tapt,must,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,optional,optional,180,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,optional,recommended,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,recommended,optional,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,recommended,recommended,180,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,must,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,nice_to_have,optional,76,76,0,76,0,180,42.22222222222222
gemma4-31b-it,mlm_tapt,shall,nice_to_have,recommended,103,103,0,0,103,180,57.22222222222222
gemma4-31b-it,mlm_tapt,shall,nice_to_have,mandatory,1,0,1,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,optional,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,optional,optional,180,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,optional,recommended,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,optional,mandatory,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,recommended,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,recommended,optional,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,recommended,recommended,180,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,recommended,mandatory,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,mandatory,nice_to_have,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,mandatory,optional,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,mandatory,recommended,0,0,0,0,0,180,0.0
gemma4-31b-it,mlm_tapt,shall,mandatory,mandatory,180,0,0,0,0,180,0.0
gemma4-31b-it,nice,must,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
