model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
gemma4-31b-it,document,marker_O,full-20260912-160021-5684d7ca,100,100,0.99,0.25,0.16975000000000004,0.34,0.25,0.25,0.25,0.16975000000000004,0.34,0.25,0.25,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,modality_mandatory,full-20260912-155608-49b7f0d3,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,modality_mandatory,full-20260912-160021-5684d7ca,180,180,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,modality_recommended,full-20260912-155608-49b7f0d3,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,modality_recommended,full-20260912-160021-5684d7ca,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,modality_optional,full-20260912-155608-49b7f0d3,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,modality_optional,full-20260912-160021-5684d7ca,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,modality_nice_to_have,full-20260912-155608-49b7f0d3,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,modality_nice_to_have,full-20260912-160021-5684d7ca,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_M/modality_mandatory,full-20260912-155608-49b7f0d3,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_M/modality_mandatory,full-20260912-160021-5684d7ca,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_M/modality_recommended,full-20260912-155608-49b7f0d3,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_M/modality_recommended,full-20260912-160021-5684d7ca,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_M/modality_optional,full-20260912-155608-49b7f0d3,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_M/modality_optional,full-20260912-160021-5684d7ca,155,155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_M/modality_nice_to_have,full-20260912-155608-49b7f0d3,155,155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_M/modality_nice_to_have,full-20260912-160021-5684d7ca,155,155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_O/modality_mandatory,full-20260912-155608-49b7f0d3,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_O/modality_mandatory,full-20260912-160021-5684d7ca,25,25,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_O/modality_recommended,full-20260912-155608-49b7f0d3,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_O/modality_recommended,full-20260912-160021-5684d7ca,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_O/modality_optional,full-20260912-155608-49b7f0d3,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_O/modality_optional,full-20260912-160021-5684d7ca,25,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,bare,marker_O/modality_nice_to_have,full-20260912-155608-49b7f0d3,25,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
gemma4-31b-it,document,marker_O/modality_nice_to_have,full-20260912-160021-5684d7ca,25,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,all,full-20260912-150752-31b933cd,720,720,1.0,0.25,0.22083333333333333,0.2819791666666666,0.25,0.25,0.25,0.22083333333333333,0.2819791666666666,0.25,0.25,item_id,,full_arm_descriptive,0,0
glm-5.3,document,all,full-20260912-152522-d815b750,720,718,0.9456824512534819,0.24373259052924792,0.21305710306406686,0.2743732590529248,0.23609273444753945,0.2500086926286509,0.24373259052924792,0.21305710306406686,0.2743732590529248,0.23609273444753945,0.2500086926286509,item_id,,full_arm_descriptive,2,0
