model,dataset,variant,source_modality,n_items,n_valid,n_parse_failures,n_text_unclassified,broad_strengthening_n,broad_strengthening_denominator,broad_strengthening_rate,broad_strengthening_ci_low,broad_strengthening_ci_high,broad_strengthening_seed_ci_low,broad_strengthening_seed_ci_high,strict_strengthening_n,strict_strengthening_denominator,strict_strengthening_rate,strict_strengthening_ci_low,strict_strengthening_ci_high,strict_strengthening_seed_ci_low,strict_strengthening_seed_ci_high,strengthening_ci_cluster_field,strict_high_conf_share_90,agreement_n_complete,agreement_n_incomplete_excluded,requirement_word_count_n,mean_requirement_word_count
gpt-oss-20b,mlm_tapt,shall,optional,180,180,0,69,20,111,0.18018018018018017,0.11301911544227886,0.259621062992126,0.11301911544227886,0.259621062992126,0,111,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,15.661111111111111
gpt-oss-20b,mlm_tapt,shall,nice_to_have,180,180,0,38,142,142,1.0,1.0,1.0,1.0,1.0,142,142,1.0,1.0,1.0,1.0,1.0,item_id,0.823943661971831,142,0,180,16.455555555555556
muse-glimmer-30b,mlm_tapt,shall,mandatory,180,180,0,21,0,159,0.0,0.0,0.0,0.0,0.0,0,159,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.677777777777777
muse-glimmer-30b,mlm_tapt,shall,recommended,180,180,0,13,21,167,0.12574850299401197,0.07601234190126478,0.18015236801242235,0.07601234190126478,0.18015236801242235,0,167,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.766666666666666
muse-glimmer-30b,mlm_tapt,shall,optional,180,180,0,12,17,168,0.10119047619047619,0.05986252347376254,0.14634146341463414,0.05986252347376254,0.14634146341463414,0,168,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,16.81111111111111
muse-glimmer-30b,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.7555555555555555,180,0,180,17.072222222222223
qwen3.5-9b,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.18888888888889
qwen3.5-9b,mlm_tapt,shall,recommended,180,180,0,0,17,180,0.09444444444444444,0.05555555555555555,0.1388888888888889,0.05555555555555555,0.1388888888888889,1,180,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,item_id,1.0,1,0,180,17.06111111111111
qwen3.5-9b,mlm_tapt,shall,optional,180,180,0,0,2,180,0.011111111111111112,0.0,0.027777777777777776,0.0,0.027777777777777776,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.183333333333334
qwen3.5-9b,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,177,180,0.9833333333333333,0.9611111111111111,1.0,0.9611111111111111,1.0,item_id,1.0,177,0,180,17.038888888888888
qwen3.6-27b,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
qwen3.6-27b,mlm_tapt,shall,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.116666666666667
qwen3.6-27b,mlm_tapt,shall,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.11111111111111
qwen3.6-27b,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,17.072222222222223
qwen3.8-27b,mlm_tapt,shall,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.1
qwen3.8-27b,mlm_tapt,shall,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.11111111111111
qwen3.8-27b,mlm_tapt,shall,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,17.2
qwen3.8-27b,mlm_tapt,shall,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,17.055555555555557
gemma4-12b-it,nice,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-12b-it,nice,must,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-12b-it,nice,must,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-12b-it,nice,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,14.194444444444445
gemma4-31b-it,nice,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-31b-it,nice,must,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-31b-it,nice,must,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.205555555555556
gemma4-31b-it,nice,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,1.0,180,0,180,14.216666666666667
glm-5.3,nice,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.188888888888888
glm-5.3,nice,must,recommended,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.2
glm-5.3,nice,must,optional,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.2
glm-5.3,nice,must,nice_to_have,180,180,0,0,180,180,1.0,1.0,1.0,1.0,1.0,180,180,1.0,1.0,1.0,1.0,1.0,item_id,0.4388888888888889,180,0,180,14.205555555555556
glm-5.3-flash,nice,must,mandatory,180,180,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0,180,0.0,0.0,0.0,0.0,0.0,item_id,,0,0,180,14.2
glm-5.3-flash,nice,must,recommended,180,180,0,0,4,180,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.005555555555555556,0.044444444444444446,4,180,0.022222222222222223,0.005555555555555556,0.044444444444444446,0.005555555555555556,0.044444444444444446,item_id,1.0,4,0,180,14.2
